predictor,absolute weight,weight sign
LotFrontage,0.0,0.0
LotArea,0.0,0.0
OverallQual,0.5076271115314864,1.0
OverallCond,0.2139429730231378,1.0
YearBuilt,0.0,0.0
YearRemodAdd,0.05420333498261861,1.0
MasVnrArea,0.0,0.0
BsmtFinSF1,0.0,0.0
BsmtFinSF2,0.0,0.0
BsmtUnfSF,0.0,0.0
TotalBsmtSF,0.0,0.0
1stFlrSF,0.045581811528899036,1.0
2ndFlrSF,0.0,0.0
LowQualFinSF,0.0,0.0
GrLivArea,0.838847355613352,1.0
BsmtFullBath,0.10989725192815493,1.0
BsmtHalfBath,0.0,0.0
FullBath,0.1329972069768368,1.0
HalfBath,0.056947254210391915,1.0
BedroomAbvGr,0.0,0.0
KitchenAbvGr,0.0,0.0
TotRmsAbvGrd,0.1595068873169074,1.0
Fireplaces,0.004285704948178363,1.0
GarageYrBlt,0.0,0.0
GarageCars,0.2301399477424741,1.0
GarageArea,0.033816293942938794,1.0
WoodDeckSF,0.0765006563263044,1.0
OpenPorchSF,0.0,0.0
EnclosedPorch,0.0,0.0
3SsnPorch,0.0,0.0
ScreenPorch,0.07843010137653617,1.0
PoolArea,0.0,0.0
MiscVal,0.0,0.0
MoSold,0.0,0.0
YrSold,0.012179156334635075,-1.0
Alley_Grvl,0.0,0.0
Alley_None,0.0,0.0
Alley_Pave,0.007458654465615448,1.0
BldgType_1Fam,0.036867675809306374,1.0
BldgType_2fmCon,0.0,0.0
BldgType_Duplex,0.0,0.0
BldgType_Twnhs,0.02160660617825107,-1.0
BldgType_TwnhsE,0.0,0.0
BsmtCond_Fa,0.0,0.0
BsmtCond_Gd,0.004409730396870505,1.0
BsmtCond_None,0.027322743138535246,-1.0
BsmtCond_Po,0.0,0.0
BsmtCond_TA,0.017632596334236455,1.0
BsmtExposure_Av,0.0,0.0
BsmtExposure_Gd,0.06655745977392635,1.0
BsmtExposure_Mn,0.0,0.0
BsmtExposure_No,0.014164364676885059,-1.0
BsmtExposure_None,0.06721334025696249,-1.0
BsmtFinType1_ALQ,0.005137417243726643,1.0
BsmtFinType1_BLQ,0.0,0.0
BsmtFinType1_GLQ,0.012775356787434916,1.0
BsmtFinType1_LwQ,0.001221925196917008,-1.0
BsmtFinType1_None,0.007264827458727044,-1.0
BsmtFinType1_Rec,0.0,0.0
BsmtFinType1_Unf,0.04159612243262295,-1.0
BsmtFinType2_ALQ,0.0,0.0
BsmtFinType2_BLQ,0.0027921587612945416,-1.0
BsmtFinType2_GLQ,0.0,0.0
BsmtFinType2_LwQ,0.0,0.0
BsmtFinType2_None,0.0,0.0
BsmtFinType2_Rec,0.0,0.0
BsmtFinType2_Unf,0.0,0.0
BsmtQual_Ex,0.07140227128929418,1.0
BsmtQual_Fa,0.0,0.0
BsmtQual_Gd,0.019444887817564593,1.0
BsmtQual_None,0.0010186494116219615,-1.0
BsmtQual_TA,0.0,0.0
CentralAir_N,0.055459732565808204,-1.0
CentralAir_Y,0.014469086519360186,1.0
Condition1_Artery,0.0,0.0
Condition1_Feedr,0.0,0.0
Condition1_Norm,0.05176977503419965,1.0
